episode,avg_waiting_time,avg_queue_length,phase_changes,total_vehicles,passenger,emergency,bus,truck
1,634.8306789606036,13.164291701592624,106,470,470,0,0,0
2,471.2806041335453,10.879173290937997,101,467,467,0,0,0
3,809.1372688477952,14.776671408250355,91,533,533,0,0,0
4,922.5734214390602,14.6431718061674,97,529,529,0,0,0
5,557.5565819861432,13.035411855273287,91,542,542,0,0,0
6,889.2783505154639,15.683584456780332,97,511,511,0,0,0
7,430.3102605863192,9.941368078175897,108,456,456,0,0,0
8,431.6116352201258,10.32625786163522,109,463,463,0,0,0
9,371.3303787268332,9.879129734085415,99,456,456,0,0,0
10,368.25,9.865953947368421,104,472,472,0,0,0
11,559.6315359477125,11.209150326797385,105,489,489,0,0,0
12,846.0075872534143,14.18361153262519,101,512,512,0,0,0
13,547.7655897821187,10.605559729526671,104,487,487,0,0,0
14,381.22046589018305,10.656405990016639,105,452,452,0,0,0
15,495.7752332485157,11.622561492790501,103,457,457,0,0,0
16,710.0248397435897,13.664262820512821,108,477,477,0,0,0
17,470.5515342250197,10.708103855232102,107,458,458,0,0,0
18,405.36762360446573,10.347687400318978,97,496,496,0,0,0
19,318.37775891341255,9.202886247877759,104,468,468,0,0,0
20,896.1243484735667,15.798212956068504,97,544,544,0,0,0
21,429.36130536130537,10.382284382284382,103,482,482,0,0,0
22,449.38782318598834,10.531276063386155,103,456,456,0,0,0
23,409.9190800681431,10.28449744463373,102,449,449,0,0,0
24,329.60987654320985,9.02962962962963,104,442,442,0,0,0
25,667.8962188254224,12.441673370876911,98,484,484,0,0,0
26,407.8955792682927,9.762195121951219,115,458,458,0,0,0
27,306.92905982905984,8.925641025641026,104,444,444,0,0,0
28,633.5507358636715,12.601084430673897,93,545,545,0,0,0
29,371.0042052144659,10.105130361648444,104,444,444,0,0,0
30,815.4542728635682,12.793853073463268,105,481,481,0,0,0
31,603.7375415282391,11.789867109634551,103,475,475,0,0,0
32,342.46986970684037,9.07084690553746,107,466,466,0,0,0
33,328.0831315577078,9.552865213882162,96,482,482,0,0,0
34,362.5054759898905,9.98989048020219,104,436,436,0,0,0
35,404.4732824427481,10.162001696352842,100,467,467,0,0,0
36,285.71888230313294,8.843353090601186,103,446,446,0,0,0
37,448.25969645868463,10.60539629005059,102,463,463,0,0,0
38,461.8114558472554,11.11217183770883,99,479,479,0,0,0
39,530.1354992076069,12.094294770206023,98,481,481,0,0,0
40,350.6430894308943,9.235772357723578,98,484,484,0,0,0
41,415.3386973180077,10.24904214559387,103,500,500,0,0,0
42,393.4640316205534,9.861660079051383,100,501,501,0,0,0
43,330.7518740629685,9.363568215892053,95,509,509,0,0,0
44,347.03885135135135,9.340371621621621,102,437,437,0,0,0
45,274.1111111111111,8.528822055137844,106,451,451,0,0,0
46,300.8966365873667,9.344544708777686,96,474,474,0,0,0
47,337.86041009463725,9.628548895899053,99,483,483,0,0,0
48,454.15428109854605,11.064620355411956,106,489,489,0,0,0
49,267.7518796992481,7.843776106934001,106,447,447,0,0,0
50,347.190635451505,9.62876254180602,105,445,445,0,0,0
